Date,Open,High,Low,Close,Adj Close,Volume
2016-10-25,214.679993,214.979996,213.979996,214.169998,208.854660,66542300
2016-10-26,213.210007,214.419998,212.929993,213.740005,208.435333,75705500
2016-10-27,214.580002,214.619995,213.080002,213.169998,207.879486,77220200
2016-10-28,213.139999,213.929993,211.710007,212.539993,207.265106,140623200
2016-10-31,212.929993,213.190002,212.360001,212.550003,207.274872,61272500
2016-11-01,212.929993,212.990005,209.600006,211.009995,205.773087,122781800
2016-11-02,210.649994,211.100006,209.229996,209.740005,204.534607,103330800
2016-11-03,209.990005,210.240005,208.460007,208.779999,203.598434,88939300
2016-11-04,208.910004,209.889999,208.380005,208.550003,203.374146,109122100
2016-11-07,208.550003,213.190002,208.550003,213.149994,207.859970,109794900
2016-11-08,212.690002,214.770004,212.380005,214.110001,208.796143,102268300
2016-11-09,212.369995,217.100006,212.339996,216.380005,211.009827,258429000
2016-11-10,217.300003,218.309998,215.220001,216.919998,211.536407,172113300
2016-11-11,216.080002,216.699997,215.320007,216.419998,211.048828,100552700
2016-11-14,217.029999,217.270004,215.720001,216.589996,211.214600,91861000
2016-11-15,217.039993,218.279999,216.800003,218.279999,212.862656,91652600
2016-11-16,217.559998,218.139999,217.419998,217.869995,212.462830,64761400
2016-11-17,218.050003,219.059998,217.919998,218.990005,213.555038,69797200
2016-11-18,219.070007,219.270004,218.289993,218.500000,213.077194,86265800
2016-11-21,219.169998,220.179993,219.000000,220.149994,214.686249,72402600
2016-11-22,220.509995,220.789993,219.729996,220.580002,215.105591,67429000
2016-11-23,219.979996,220.759995,219.750000,220.699997,215.222595,54690100
2016-11-25,221.100006,221.559998,221.009995,221.520004,216.022247,37872300
2016-11-28,221.160004,221.479996,220.360001,220.479996,215.008072,76572500
2016-11-29,220.520004,221.440002,220.169998,220.910004,215.427383,69886700
2016-11-30,221.630005,221.820007,220.309998,220.380005,214.910522,113291800
2016-12-01,220.729996,220.729996,219.149994,219.570007,214.120667,79040500
2016-12-02,219.669998,220.250000,219.259995,219.679993,214.227921,74840300
2016-12-05,220.649994,221.399994,220.419998,221.000000,215.515152,67837800
2016-12-06,221.220001,221.740005,220.660004,221.699997,216.197800,59877400
2016-12-07,221.520004,224.669998,221.380005,224.600006,219.025818,110738100
2016-12-08,224.570007,225.699997,224.259995,225.149994,219.562164,99714400
2016-12-09,225.410004,226.529999,225.369995,226.509995,220.888397,88005800
2016-12-12,226.399994,226.960007,225.759995,226.250000,220.634857,102016100
2016-12-13,227.020004,228.339996,227.000000,227.759995,222.107361,110477500
2016-12-14,227.410004,228.229996,225.369995,225.880005,220.274048,142501800
2016-12-15,226.160004,227.809998,225.889999,226.809998,221.180969,124972600
2016-12-16,226.009995,226.080002,224.669998,225.039993,220.748383,144174300
2016-12-19,225.250000,226.020004,225.080002,225.529999,221.229034,90341100
2016-12-20,226.149994,226.570007,225.880005,226.399994,222.082443,89838800
2016-12-21,226.250000,226.449997,225.770004,225.770004,221.464462,67909000
2016-12-22,225.600006,225.740005,224.919998,225.380005,221.081894,56219100
2016-12-23,225.429993,225.720001,225.210007,225.710007,221.405594,36251400
2016-12-27,226.020004,226.729996,226.000000,226.270004,221.954926,42672500
2016-12-28,226.570007,226.589996,224.270004,224.399994,220.120560,64095000
2016-12-29,224.479996,224.889999,223.839996,224.350006,220.071533,47719500
2016-12-30,224.729996,224.830002,222.729996,223.529999,219.267166,108998300
2017-01-03,225.039993,225.830002,223.880005,225.240005,220.944565,91366500
2017-01-04,225.619995,226.750000,225.610001,226.580002,222.259018,78744400
